Timestamp,Open,High,Low,Close,Volume
01-01-2020 09:15,32237.9,32312.05,32220.9,32300.9,0
01-01-2020 09:20,32298.7,32318.4,32286.2,32309.6,0
01-01-2020 09:25,32308.3,32339.25,32302.9,32336.8,0
01-01-2020 09:30,32336.7,32348,32317.95,32324.4,0
01-01-2020 09:35,32326.3,32329.3,32284.35,32290.8,0
01-01-2020 09:40,32289.7,32291.85,32237.95,32247.3,0
01-01-2020 09:45,32247.6,32251.8,32175.45,32195.4,0
01-01-2020 09:50,32193.5,32214.25,32169.2,32190.8,0
01-01-2020 09:55,32188.4,32212.1,32183.45,32206,0
01-01-2020 10:00,32204.2,32207.55,32177.8,32189.8,0
01-01-2020 10:05,32189.6,32192.85,32136.35,32148.7,0
01-01-2020 10:10,32147.4,32162.65,32131.15,32142.2,0
01-01-2020 10:15,32142.6,32159.05,32133.55,32152,0
01-01-2020 10:20,32151.8,32174.55,32151.05,32162.9,0
01-01-2020 10:25,32162.9,32188.05,32152.9,32171.1,0
01-01-2020 10:30,32174.4,32174.4,32125.55,32157.3,0
01-01-2020 10:35,32156.1,32161.3,32133.65,32139.5,0
01-01-2020 10:40,32141.5,32163.3,32138.05,32143.6,0
01-01-2020 10:45,32142.7,32148.75,32111.5,32120.6,0
01-01-2020 10:50,32120.8,32122.55,32089.6,32107.3,0
01-01-2020 10:55,32108.6,32112.45,32094.5,32106.8,0
01-01-2020 11:00,32107.8,32119.2,32099.9,32112.7,0
01-01-2020 11:05,32112.8,32122.95,32106.85,32112.1,0
01-01-2020 11:10,32111.5,32117.25,32099.2,32111.7,0
01-01-2020 11:15,32115.2,32127.65,32100,32105.1,0
01-01-2020 11:20,32104.2,32107.95,32079.1,32087.1,0
01-01-2020 11:25,32087.2,32103.95,32078.65,32100.3,0
01-01-2020 11:30,32096.4,32113.7,32094.15,32108,0
01-01-2020 11:35,32106.8,32110.1,32082.25,32093.7,0
01-01-2020 11:40,32088.6,32091.25,32075.35,32085.4,0
01-01-2020 11:45,32087.2,32092.95,32078.85,32089.1,0
01-01-2020 11:50,32088.9,32098.8,32078.8,32082.6,0
01-01-2020 11:55,32082.6,32088.6,32075.2,32088.6,0
01-01-2020 12:00,32088.8,32139,32082.75,32127.6,0
01-01-2020 12:05,32128.3,32150.85,32119.45,32127,0
01-01-2020 12:10,32127.6,32150.1,32119.7,32147.6,0
01-01-2020 12:15,32147.1,32164.25,32130.3,32134.7,0
01-01-2020 12:20,32132.1,32137.5,32102.5,32112.6,0
01-01-2020 12:25,32112.4,32116,32080.4,32084.3,0
01-01-2020 12:30,32084.2,32089.65,32057.2,32088.3,0
01-01-2020 12:35,32088.6,32102.8,32085.8,32100.3,0
01-01-2020 12:40,32096.8,32100.2,32084.8,32098.7,0
01-01-2020 12:45,32096.2,32112.1,32095.05,32108.2,0
01-01-2020 12:50,32109.2,32117.55,32102.35,32107.4,0
01-01-2020 12:55,32107.7,32110,32093.65,32107.1,0
01-01-2020 13:00,32107.2,32109.15,32093.2,32102.6,0
01-01-2020 13:05,32102.2,32105.05,32093.85,32101.1,0
01-01-2020 13:10,32099.7,32105.65,32087.6,32095.9,0
01-01-2020 13:15,32097,32103.15,32080.55,32102.6,0
01-01-2020 13:20,32102.7,32137.2,32098.05,32110.7,0
01-01-2020 13:25,32113.6,32126.95,32109.75,32126.9,0
01-01-2020 13:30,32126.2,32142.3,32119.45,32123.8,0
01-01-2020 13:35,32124.8,32129.55,32101.45,32107.2,0
01-01-2020 13:40,32107.6,32126,32103.15,32120.3,0
01-01-2020 13:45,32117.2,32128.8,32111.25,32121.5,0
01-01-2020 13:50,32118.2,32154.55,32115.15,32151.9,0
01-01-2020 13:55,32152.3,32168.25,32139.75,32146.9,0
01-01-2020 14:00,32147.1,32152.25,32132.6,32134.2,0
01-01-2020 14:05,32134.9,32144.85,32128.8,32134.4,0
01-01-2020 14:10,32135.3,32144.85,32092.4,32102.8,0
01-01-2020 14:15,32102,32104.9,32071.95,32094.1,0
01-01-2020 14:20,32093.2,32100.05,32080.1,32083.8,0
01-01-2020 14:25,32084.1,32094.95,32062.1,32088.9,0
01-01-2020 14:30,32087.8,32119.9,32082.4,32091.4,0
01-01-2020 14:35,32094.6,32104.6,32082.25,32091.2,0
