Timestamp,Open,High,Low,Close,Volume
01-01-2020 09:15,12202.2,12216.45,12201.2,12212.5,0
01-01-2020 09:20,12211.3,12218.8,12208.8,12215.9,0
01-01-2020 09:25,12215.2,12222.2,12211.35,12222,0
01-01-2020 09:30,12221.7,12221.9,12212.8,12212.8,0
01-01-2020 09:35,12213.5,12213.85,12205.5,12208.3,0
01-01-2020 09:40,12208.2,12208.75,12196.85,12202.8,0
01-01-2020 09:45,12203.2,12204.2,12191.4,12195.6,0
01-01-2020 09:50,12195.3,12205,12192.5,12199.9,0
01-01-2020 09:55,12199.5,12203.2,12197.75,12200.6,0
01-01-2020 10:00,12200.5,12201.2,12192.7,12195.2,0
01-01-2020 10:05,12195.4,12195.9,12184.7,12186.5,0
01-01-2020 10:10,12186.7,12194.05,12184.55,12190.8,0
01-01-2020 10:15,12190.8,12193.05,12187.4,12193,0
01-01-2020 10:20,12192.8,12200.2,12192.75,12196.1,0
01-01-2020 10:25,12196.2,12200.45,12194.2,12197.8,0
01-01-2020 10:30,12198.2,12198.2,12190.2,12196.3,0
01-01-2020 10:35,12195.5,12197,12190.25,12193.5,0
01-01-2020 10:40,12193.3,12197,12190.95,12192,0
01-01-2020 10:45,12192.2,12193.65,12181.6,12182.7,0
01-01-2020 10:50,12182.7,12182.7,12169.8,12176.3,0
01-01-2020 10:55,12176.3,12177.85,12175.15,12177.5,0
01-01-2020 11:00,12177.3,12184.2,12176.6,12180.8,0
01-01-2020 11:05,12180.5,12187.1,12179.55,12185.2,0
01-01-2020 11:10,12184.9,12185.65,12181.05,12183.3,0
01-01-2020 11:15,12183.4,12187.15,12182.65,12184.1,0
01-01-2020 11:20,12184,12185.15,12176.7,12177.6,0
01-01-2020 11:25,12177.5,12179.9,12175.5,12179.2,0
01-01-2020 11:30,12178.7,12184,12178.4,12183.5,0
01-01-2020 11:35,12183.5,12183.85,12179.5,12181.5,0
01-01-2020 11:40,12180.8,12180.85,12177.9,12179.2,0
01-01-2020 11:45,12179.3,12180.45,12177.15,12179.2,0
01-01-2020 11:50,12179.6,12180,12175.55,12176.1,0
01-01-2020 11:55,12176.3,12176.35,12172.55,12176.3,0
01-01-2020 12:00,12176,12187.7,12174.9,12186,0
01-01-2020 12:05,12185.9,12189.1,12184.85,12185.3,0
01-01-2020 12:10,12185.6,12187.8,12182.65,12187.3,0
01-01-2020 12:15,12187.3,12193.15,12186.8,12190.2,0
01-01-2020 12:20,12189.5,12189.85,12178.85,12180,0
01-01-2020 12:25,12179.9,12179.9,12171.95,12172,0
01-01-2020 12:30,12171.8,12174.1,12165.3,12174.1,0
